SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
30,0.5,Yes,-99,N/A,Not Available,GAS,,
85,0.24,Yes,-99,N/A,Not Available,GAS,,
310,1.6,Yes,-99,N/A,Not Available,GAS,,
449,0.52,Yes,-99,N/A,Not Available,GAS,,
493,0.42,Yes,-99,N/A,Not Available,GAS,,
507,2.4,Yes,-99,N/A,Not Available,GAS,,
513,1.56,Yes,-99,N/A,Not Available,GAS,,
531,0.46,Yes,-99,N/A,Not Available,GAS,,
536,56,Yes,-99,N/A,Not Available,GAS,,
595,12.2,Yes,-99,N/A,Not Available,GAS,,
611,0.08,Yes,-99,N/A,Not Available,GAS,,
717,0.72,Yes,-99,N/A,Not Available,GAS,,
2297,23.3,Yes,-99,N/A,Inferred,GAS,,
