SPECIES_ID,WEIGHT_PERCENT,INCLUDE_IN_SUM,UNCERTAINTY_PERCENT,UNCERTAINTY_METHOD,ANALYTICAL_METHOD,PHASE,SPECIES_EMISSION_RATE,SPECIES_EMISSION_RATE_UNIT
292,4.27E+00,,1.986,N/A,Not Available,,,
296,9.81E-01,,0.62,N/A,Not Available,,,
298,9.92E+00,,1.412,N/A,Not Available,,,
300,9.10E-02,,0.154,N/A,Not Available,,,
328,2.81,,0.69,N/A,Not Available,,,
329,1.32E+00,,0.29,N/A,Not Available,,,
347,3.91E-01,,0.003,N/A,Not Available,,,
380,3.25E+00,,1.179,N/A,Not Available,,,
468,1.00E-03,,0.004,N/A,Not Available,,,
487,1.00E-02,,0.018,N/A,Not Available,,,
488,4.64E+00,,0.905,N/A,Not Available,,,
520,11.682,,2.713,N/A,Not Available,,,
525,0.15,,1.006,N/A,Not Available,,,
526,1.11E+00,,0.238,N/A,Not Available,,,
528,5.10E-02,,0.012,N/A,Not Available,,,
586,0.00E+00,,0.001,N/A,Not Available,,,
612,1.74E-01,,0.027,N/A,Not Available,,,
613,4.16E-01,,6.44E-01,N/A,Not Available,,,
626,3.22E+00,,1.455,N/A,Not Available,,,
649,0.298,,0.084,N/A,Not Available,,,
666,3.02E-01,,0.049,N/A,Not Available,,,
669,3.12E+00,,0.913,N/A,Not Available,,,
689,3.40E-02,,-99,N/A,Not Available,,,
693,8.10E-02,,0.006,N/A,Not Available,,,
694,5.64E+00,,1.427,N/A,Not Available,,,
695,0.178,,0.083,N/A,Not Available,,,
696,1.163,,0.556,N/A,Not Available,,,
697,3.70E-02,,0.016,N/A,Not Available,,,
699,6.632,,2.315,N/A,Not Available,,,
700,7.09E+00,No,1.394,N/A,Not Available,,,
714,5.01E-01,,0.079,N/A,Not Available,,,
715,0.092,,0.021,N/A,Not Available,,,
767,1.02E-01,,0.01,N/A,Not Available,,,
778,6.19E+00,,1.158,N/A,Not Available,,,
779,3.00E-03,,-99,N/A,Not Available,,,
795,1.75E+00,,0.428,N/A,Not Available,,,
797,3.41E-01,,0.243,N/A,Not Available,,,
810,1.19E-01,,0.065,N/A,Not Available,,,
1860,1.00E-02,,0.005,N/A,Not Available,,,
1861,2.90E-02,,-99,N/A,Not Available,,,
1869,2.00E-03,,0.007,N/A,Not Available,,,
1871,1.30E+00,,1.453,N/A,Not Available,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
