ID,Formula,Description,units
ACET,C3H6O,,moles/s
ACROLEIN,C3H4O,,moles/s
ALD2,C2H4O,,moles/s
ALD2_PRIMARY,C2H4O,acetaldehyde from emissions only,moles/s
BENZ,C6H6,,moles/s
BUTADIENE13,C4H6,,moles/s
CH4,CH4,,moles/s
CH4_INV,CH4,,g/s
ETH,C2H4,,moles/s
ETHA,C2H6,,moles/s
ETHY,C2H2,,moles/s
ETOH,C2H6O,,moles/s
FORM,CH2O,,moles/s
FORM_PRIMARY,CH2O,,moles/s
ISO,C5H8,,moles/s
KET,KET,,moles/s
MEOH,CH4O,,moles/s
NAPH,C10H8,,moles/s
PAL,Al,aluminum,g/s
PCA,Ca,calcium,g/s
PCL,Cl,chloride,g/s
PEC,C,Elemental carbon,g/s
PFE,Fe,iron,g/s
PK,K,potassium,g/s
PMG,Mg,magnesium,g/s
PMN,Mn,manganese,g/s
PNA,Na,Fine mode sodium ,g/s
PNH4,H4N,ammonium,g/s
PNO3,NO3,nitrate,g/s
PRPA,C3H8,propane,moles/s
PSI,Si,silica,g/s
PSO4,O4S,sulfate,g/s
PTI,Ti,titanium,g/s
TOL,C7H8,toluene and other monoalkyl aromatics,moles/s
XYLMN,C8H10,xylene and other polyalkyl aromatics except naphthalene,moles/s
CO,CO,,moles/s
SO2,SO2,,moles/s
VOC_INV,VOC_INV,,moles/s
PMC,PMC,,g/s
NO,NO,,moles/s
NO2,NO2,,moles/s
